@relation 'CamelBug'

@attribute Text string
@attribute class-att {0,1}

@data

' FileConfigureTest can t pass in Windows box    Because of the File separator is different between the unix and windows system  So the test can t pass in windows box I just attached a patch for it  Please have a look at it  I tested it in windows box    ',0
'JMSXGroupID is not copied across ActiveMQ endpoints    See thread  http   www nabble com MethodName in header is ignored by beanRef       tf       s      html a           ',0
'URL link broken in org apache camel Processor API doc     Message Transformer  link is broken    ',0
'org apache camel processor UnitOfWorkWithAsyncFlowTest failure    Running org apache camel processor UnitOfWorkWithAsyncFlowTestTests run     Failures     Errors     Skipped     Time elapsed         sec  lt  lt  lt  FAILURE This prevents developer from building camel under Linux platform  Thanks    ',0
'exception clause doesn t proceed with pipeline    Problem is very similar to CAMEL     but this time with exception clause As exceptions are not cleared pipeline doesn t proceed    ',0
'the       release didnt  seem to include the javadocs or doc directory  or manual      I wondered if this was due to your machine Hiram having some dodgy maven plugin around or something    ',0
'Headers lost after XSLT processing    After xslt processing the message headers are lost  See attached unit test  this test fails since revision        http   svn apache org viewvc view rev amp revision          ',0
'Fix performance counters       ',0
' Spring integration  TheadType is missing in org apache camel model jaxb index    TheadType is missing in org apache camel model jaxb index   gt  JAXB don t know how to unmarshall thread Bug description found in Camel Users forum   http   www nabble com Processor thread pool td        s      html   ',0
' Spring integration  Bad urls in META INF spring schemas    http    activemq apache org camel schema spring camel spring     xsd becomes http    activemq apache org camel schema spring camel spring       xsdhttp    activemq apache org camel schema spring camel spring     xsd becomes http    activemq apache org camel schema spring camel spring       xsdThere s no camel spring     xsd and camel spring     xsd under http   activemq apache org camel schema spring    ',0
'NullPointerException in CXF routes when there is an endpoint between router and service CXF endpoints    When an endpoint is added between a cxf router and a cxf service endpoint the message exchange is interrupted by a NullPointerException Example code     JAVA BEGIN                                                           This code worksfrom StringUtils join cxfRouterURI   to StringUtils join cxfServiceURI       This code crashes  same problem with seda and log endpoints String anyEndpoint    activemq someQueue      JAVA END                                                         from StringUtils join cxfRouterURI   to anyEndpoint  to StringUtils join cxfServiceURI        EXCEPTION BEGIN                                                       org apache cxf phase PhaseInterceptorChain doInterceptINFO  Interceptor has thrown exception  unwinding noworg apache cxf interceptor Fault at org apache camel component cxf interceptors RawMessageContentRedirectInterceptor handleMessage RawMessageContentRedirectInterceptor java     at org apache cxf phase PhaseInterceptorChain doIntercept PhaseInterceptorChain java      at org apache camel component cxf invoker CxfClient invokeWithMessageStream CxfClient java      at org apache camel component cxf invoker CxfClient dispatch CxfClient java     at org apache camel component cxf CxfProducer process CxfProducer java      at org apache camel component cxf CxfProducer process CxfProducer java      at org apache camel impl converter AsyncProcessorTypeConverter ProcessorToAsynProcessorBridge process AsyncProcessorTypeConverter java     at org apache camel processor SendProcessor process SendProcessor java     at org apache camel processor DeadLetterChannel process DeadLetterChannel java      at org apache camel processor DeadLetterChannel process DeadLetterChannel java     at org apache camel processor Pipeline process Pipeline java      at org apache camel processor Pipeline process Pipeline java     at org apache camel processor UnitOfWorkProcessor process UnitOfWorkProcessor java     at org apache camel util AsyncProcessorHelper process AsyncProcessorHelper java     at org apache camel processor DelegateAsyncProcessor process DelegateAsyncProcessor java     at org apache camel component cxf CamelInvoker invoke CamelInvoker java     at org apache camel component cxf interceptors AbstractInvokerInterceptor handleMessage AbstractInvokerInterceptor java     at org apache cxf phase PhaseInterceptorChain doIntercept PhaseInterceptorChain java      at org apache camel component cxf CxfMessageObserver onMessage CxfMessageObserver java     at org apache cxf transport http jetty JettyHTTPDestination serviceRequest JettyHTTPDestination java      at org apache cxf transport http jetty JettyHTTPDestination doService JettyHTTPDestination java      at org apache cxf transport http jetty JettyHTTPHandler handle JettyHTTPHandler java     at org mortbay jetty handler ContextHandler handle ContextHandler java      at org mortbay jetty handler ContextHandlerCollection handle ContextHandlerCollection java      at org mortbay jetty handler HandlerWrapper handle HandlerWrapper java      at org mortbay jetty Server handle Server java      at org mortbay jetty HttpConnection handleRequest HttpConnection java      at org mortbay jetty HttpConnection RequestHandler content HttpConnection java      at org mortbay jetty HttpParser parseNext HttpParser java      at org mortbay jetty HttpParser parseAvailable HttpParser java      at org mortbay jetty HttpConnection handle HttpConnection java      at org mortbay io nio SelectChannelEndPoint run SelectChannelEndPoint java      at org mortbay thread BoundedThreadPool PoolThread run BoundedThreadPool java     Caused by  java lang NullPointerException at org apache commons io IOUtils copyLarge IOUtils java       at org apache commons io IOUtils copy IOUtils java      at org apache camel component cxf interceptors RawMessageContentRedirectInterceptor handleMessage RawMessageContentRedirectInterceptor java            more     EXCEPTION END                                   Known workaround Change the code like this     JAVA BEGIN                                                          String anyEndpoint    activemq someQueue   from StringUtils join cxfRouterURI   process new Processor    public void process Exchange exchange  throws Exception   exchange setOut exchange getIn          to anyEndpoint  to StringUtils join cxfServiceURI       JAVA END                                                            ',0
'Multithreaded HTTP invocations doesn t work    Description of the bug http   www nabble com Multithreaded http endpoint to        s      html a           ',0
'DefaultParameterMappingStrategy doesn t load its defaults    This is preventing BeanProcessor from using bean methods with a Message parameter  or bean methods not named  process  that have an Exchange as their parameter  For example  to map to a Message the it tries using the ParameterExpression bodyAs Message class  instead of inmessageExpression      ',0
'spring       jar is twice in the camel distro    I downloaded the latest snapshot apache camel                        zip fromhttp   people apache org repo m  snapshot repository org apache camel apache camel     SNAPSHOT The  zip file contains spring       jar twice camel lib camel lib optionalIs Spring both mandatory and optional And btw it includes an old version of commons logging       jar  v    of commons logging is out    ',0
'bad content length header value in http response    By default HttpBinding class copies all request header attributes from the request to the response including  Content Length   So the consequence is that the response is declaring the same size as the request which can lead to serious truncation problems  the workaround is simply to add the line out removeHeader  Content Length    in the writeResponse method of the httpbinding class allowing jetty to set the right value    ',0
'Mina TCP does not support InOut pattern    See this thread http   www nabble com camel mina TCP InOut exchange td        s      htmlThis builder does not support InOut when a client send a textline to localhost      The client never receives a response url    mina tcp   localhost      textline true  from uri  process new Processor     public void process Exchange e    String in   e getIn   getBody String class      append newline at end to denote end of data for textline codec e getOut   setBody  Hello     in     n         Attached is a patch that fixes this by introducing a new parameter to the URL for fluent builder sync true  ie is there a better name  Using this url instead and the patch then Camel will send a response back to the client mina tcp   localhost      textline true amp sync true   ',0
