@relation camel

@attribute text string
@attribute isBreakage {0,1}

@data
'FileConfigureTest can\'t pass in Windows box   \tBecause of the File.separator is different between the unix and windows system. So the test can\'t pass in windows box.I just attached a patch for it. Please have a look at it  I tested it in windows box.   ',0
'JMSXGroupID is not copied across ActiveMQ endpoints   \tSee thread: http://www.nabble.com/MethodName-in-header-is-ignored-by-beanRef\%28\%29-tf4285009s22882.html#a12198390   ',0
'URL link broken in org.apache.camel.Processor API doc   \t\'Message Transformer\' link is broken.   ',0
'org.apache.camel.processor.UnitOfWorkWithAsyncFlowTest failure   \tRunning org.apache.camel.processor.UnitOfWorkWithAsyncFlowTestTests run: 3  Failures: 1  Errors: 0  Skipped: 0  Time elapsed: 20.345 sec &lt;&lt;&lt; FAILURE!This prevents developer from building camel under Linux platform. Thanks!   ',0
'exception clause doesn\'t proceed with pipeline   \tProblem is very similar to CAMEL-191 but this time with exception clause.As exceptions are not cleared pipeline doesn\'t proceed.   ',0
'the 1.2.0 release didnt\' seem to include the javadocs or doc directory (or manual)!   \tI wondered if this was due to your machine Hiram having some dodgy maven plugin around or something?   ',0
'Headers lost after XSLT processing   \tAfter xslt processing the message headers are lost. See attached unit test  this test fails since revision 590680.http://svn.apache.org/viewvc?view=rev&amp;revision=590680   ',0
'Fix performance counters   \t   ',0
'[Spring integration] TheadType is missing in org/apache/camel/model/jaxb.index   \tTheadType is missing in org/apache/camel/model/jaxb.index =&gt; JAXB don\'t know how to unmarshall thread.Bug description found in Camel Users forum : http://www.nabble.com/Processor-thread-pool-td13212513s22882.html   ',0
'[Spring integration] Bad urls in META-INF/spring.schemas   \thttp/://activemq.apache.org/camel/schema/spring/camel-spring-1.1.xsd becomes http/://activemq.apache.org/camel/schema/spring/camel-spring-1.1.0.xsdhttp/://activemq.apache.org/camel/schema/spring/camel-spring-1.2.xsd becomes http/://activemq.apache.org/camel/schema/spring/camel-spring-1.2.0.xsdThere\'s no camel-spring-1.1.xsd and camel-spring-1.2.xsd under http://activemq.apache.org/camel/schema/spring/   ',0
