@relation 'AmbariBug'

@attribute Text string
@attribute class-att {0,1}

@data

'Agent should retry heartbeat message  if controller did not receive the heartbeat    If the heartbeat was not received correctly by the controller  then it should retry    ',0 
'Check for NN safemode during restarts    There is no checks for safemode when we reconfigure the cluster    ',0 
'Dependency of templeton on hcat client    hcat client should be installed at the templeton server node    ',0 
'Remove import of mysql puppet module from manifest     Remove import of mysql puppet module from manifest because this module is deprecated    ',0 
'Add check to verify jdk path after install    After the jdk install  we do not validate the path  This causes problems during service start in later stages    ',0 
'PHP Notice  Undefined variable  manifest in  usr share hmc php puppet genmanifest hostsConfig php    Undefined variable used    ',0 
'Support filtering hosts based on discovery status    Api to get hosts should allow filtering out bad hosts   ',0 
'Alert table on the right needs to be tied visually verbally to the context content it is displaying    Currently in Dashboard when service entry is clicked  right side alerts table caption does not indicate that it is showing alerts related to that service  So Cpation of the table should change indicating the corresponding service name    ',0 
'Remove the word alert from all the Nagios alerts descriptions     IT is sort of redundant     ',0 
'Make the daemon names and other field names consistent    Following names need to be consistent  Hdfs   gt  HDFS Mapreduce   gt  MapReduce Zookeeper   gt  ZooKeeper HADOOP   gt  Hadoop   ',0 
'Enable LZO should show checkbox instead of text    Currently the enable lzo option shows a text box that needs to be filled with true false  Changing the UI element to checkbox    ',0 
'Increase puppet agent timeout     Puppet agent timeout should be increases as sometimes  possibly due to a bug in ruby  puppet master takes long time to compile and send back the catalog    ',0 
'Refactor puppet kick loop to easily change retries and timeouts     Refactor puppet kick loop to easily change retries and timeouts    ',1 
'Support data cleanup if installation fails     We need to support data cleanup so that a cluster can be re installed in case of failures    ',0 
'Replace index php with clusters php    Like the title says  overwrite index php with the contents of clusters php  making sure to add a link to the AddNodesWizard as well    ',0 
'Uninstall support from UI    Uninstall wipeout support from UI    ',0 
'Remove  Playground  files from HMC    There s a bunch of  temporary playground  files that got wrongly committed to the HMC codebase  so this is to remove all of them and get things into a cleaner state  at least on the face of things     ',0 
'Support uninstall state in mysql modules    Currently  there is no support for uninstall of mysql package    ',0 
'Rename Relocate files as appropriate    There s some images in the html  directory  that should be in images    there s  html files whose extension should be changed to  htmli  and such  that would be nice to clean up    ',0 
'Update hive config to enable authorization    In  etc hive conf hive site xml lt property gt   lt name gt hive security authorization enabled lt  name gt   lt value gt true lt  value gt   lt description gt enable or disable the hive client authorization lt  description gt  lt  property gt  lt property gt   lt name gt hive security authorization manager lt  name gt   lt value gt org apache hcatalog security HdfsAuthorizationProvider lt  value gt   lt description gt the hive client authorization manager class name  The user defined authorization class should implement interface org apache hadoop hive ql security authorization HiveAuthorizationProvider   lt  description gt  lt  property gt In  etc hive conf hive env sh  add  export HIVE AUX JARS PATH  usr lib hcatalog share hcatalog hcatalog       jar   ',0 
'Manage services section will have any empty section when no client only components installed    On the manage services page we have a section for client only services that have no long running processes If the user has no such component there is a heading but no content  Maybe we can hide the heading when no such service is present    ',0 
'Init Wizard  Advanced Config validation errors can be bypassed    Make the Naigos password  and re type password  different so as you cause a validation error This will let the user move on to the next screen by ignoring all other validation errors on this page    ',0 
'Nagios Admin Contact should be checked to ensure it is always an email address       ',0 
'Templeton data on hdfs needs to be readable by all users    Content of  user templeton dir bash      hadoop dfs  ls  user templetonFound   items rw r  r     templeton hdfs                          user templeton hadoop streaming jar rw          templeton hdfs                            user templeton hive tar gz rw          templeton hdfs                            user templeton pig tar gz rw          templeton hdfs                          user templeton ugi jarOnly templeton user can use the jars   ',0 
'Update HDFS parameter configuration description    Updating the short description and tooltip long description as follows Changing the text that affects WebUI as follows  filesystem   gt  file system HDFS Append Enabled   gt  Append enabled HDFS WebHDFS Enabled   gt  WebHDFS enabled Hadoop maximum Java heap size   gt  Hadoop maximum Java heap size  MB   Java Heap Size for slave daemons   gt  Maximum Java heap size for daemons such as Balancer in MB   Xmx    NameNode maximum Java heap size   gt  NameNode initial Java heap size  MB   Java Heap Size for NameNode   gt  Initial and minimum Java heap size for NameNode in MB   Xms    Hadoop Young Generation heap size   gt  NameNode new generation size  MB   Maximum size for New Generation for java heap size   gt  Default size of Java new generation in MB for NameNode   XX NewSize    DataNode Java heap size   gt  DataNode maximum Java heap size  MB   Java Heap Size for DataNode   gt  Maximum Java heap size for DataNode in MB   Xmx    ',0 
'Cleanup of utilities    We need an api for the UI to figure out the status of the cluster    ',0 
'Fixup review and deploy rendering    Currently render of the review and deploy page is messy    ',0 
'Add link to uninstall on index page    Uninstall link is now hooked into the index page    ',0 
'Comment in addNodesWizardInit js     Comment in addNodesWizardInit js    ',0 
'HTML being spewed in the Review Deploy page     HTML being spewed in the Review Deploy page    ',0 
'Change the status message  success error  location so that it shows below the page summary box  rather than above  more better visibility       ',0 
'regionservers config in the hbase only has localhost in it     etc hbase conf regionserver should correctly populate the slaves list   ',0 
'Upgrade to yui             ',0 
'Externalize message resources for the welcome page   Update styles on various pages        ',0 
'Uninstall s wipe flag should be correctly passed to puppet       ',0 
'Grid mount points page doesn t let one pass with only a custom mount point       ',0 
'Scale puppet master to large number of nodes     Scale puppet master to large number of nodes    ',0 
'During any process in the cluster initialization wizard  if the user goes back to the    Create Cluster  tab  the user is stuck        ',0 
'Dependencies should be added only during install phase    Host level dependencies are being set in running stage as well  which is redundant  It can be assumed that dependencies were installed at install stage    ',0 
'Provide a way to resume if browser crashes is closed during the deploy in progress    Currently when the browser is closed one cannot view the install in progress  They will have to look at the logs on the hmc machine to figure out whats going on  It would be nice if we can provide a way to get back to the install progress    ',0 
'Redundant downloads even though the artifacts are already installed    Artifacts  such as mysql connector zip  hive tar gz  pig tar gz  ext zip  are being downloaded even though they are previously installed leading to additional execution time    ',0 
'Cluster status update needs to happen for all stages of installation wizard     Cluster status should be updated in db for each stage of the installation wizard  This is used to enable restart of browser and also showing status of the cluster on the index page    ',0 
'Making transitionToNextStage more robust    If the currentStage is null  we should not proceed with a transition    ',0 
'Logging in case of error during uninstall needs to be fixed     Logs disappear post uninstall because the transaction is also cleaned from the db    ',0 
'Add flow control   force redirects to appropriate pages based on cluster configuration status for better usability    If no cluster has been set up yet  redirect to the welcome page If a cluster is being configured  but has not gone thru deployment   redirect to Step   of the cluster init wizard If a cluster is being deployed  redirect to the deployment progress page If a cluster has gone thru deployment but failed  redirect to the re install page If a cluster has gone thru deployment and succeed  do not perform any forced redirect    ',0 
'Redesign master service assignment page so that it takes up less vertical space       ',0 
'Create lock file as part of rpm install    Lock file is being created as part of create cluster  This is brittle and needs to be done as part of the rpm install    ',0 
'Package up the fonts  subdirectory in the HMC RPM    The new fonts  subdirectory used for the buttons on the ManageServices page isn t packaged up    ',0 
'Improve Service Management page and general popup styling       ',0 
'Mysql packages not being sent during install and uninstall    Mysql packages not being sent during install and uninstall    ',0 
'Uninstall does not handle component dependencies     Uninstall does not handle component dependencies    ',0 
'On Single Node install when install all the components the recommended num for Map Reduce Tasks is too high    Use lower count of maps reduce slots for a single node install    ',0 
'ZooKeeper myid files not existent on ZK install     ZooKeeper myid files not existent on ZK install    ',0 
'Add nodes fails to find node in db    Host not found in db error on assign nodes page   ',0 
'Cannot uninstall   the page hangs with the spinning icon       ',0 
'Manual config changes for nn get reset on stop start from hmc    Manual config changes for nn get reset on stop start from hmc   ',0 
'Completing successful add node takes one to initialize cluster page starting from scratch       ',0 
'Unify the top nav for both Monitoring and Cluster Management       ',0 
'Add rpm spec for hmc agent     Add rpm spec for hmc agent    ',0 
'Reset service back to original state after reconfiguration       ',0 
'Improve style on error log popups       ',0 
'Reinstall of cluster after failure to install results in failure    According to Bikas I tried to install a single node cluster  That failed for some random issue I was presented an option to reinstall I clicked on that option and it asked me to uninstall I chose uninstall and wipe data option Uninstall failed This happened because the install did not complete in the first place Thu May                         Stage   Hdp oozie  Service Hdp oozie  Service  Createsymlinks usr lib oozie oozie server lib mapred site xml File usr lib oozie oozie server lib mapred site xml ensure  err   change from absent to present failed  Could not set  present on ensure  No such file or directory    usr lib oozie oozie server lib mapred site xml at  etc puppet agent modules hdp oozie manifests service pp      ',0 
'Fix bug with jmx parsing on HBase     Fix bug with jmx parsing on HBase    ',0 
'Using service stop instead of killall for uninstall       ',0 
'Uninstall needs to update status for failure     This is to enable the routing layer to redirect appropriately    ',0 
'Duplicate definition  Class Hdp hbase  Regionserver  Enable ganglia     Duplicate definition  Class     Hdp hbase  Regionserver  Enable ganglia      is already defined  cannot redefine at  etc puppet agent modules hdp ganglia manifests monitor pp    on node ip              ec  internal   ',0 
'Post cluster install deploy the URL hmc html initializeCluster php should be disabled    Install a cluster  Then go to http    lt host gt  hmc html initializeCluster php URL  You get a page enter cluster name  If you enter a cluster name  existing install is wiped out  We need to disable this URL on an installed cluster Only way to enable this should be uninstall    ',0 
'nagios shows service status critical if hbase is not installed       ',0 
'Add nodes page alerts removed in case of adding duplicate nodes    Alerts that are being shown needs to be changed to be compatible with current implementation of showing errors  A link now appears to  Show the duplicate nodes  which shows the duplicate nodes    ',0 
'Fix hive stop to escape          ',0 
'Post Install Add Nodes   update progress title and success error messages to reflect what it s actually doing has done       ',0 
'Add missing JS file for making post cluster install Add Nodes work       ',0 
'Show the same welcome page to the user if the user starts configuring a cluster but has not started deploy yet       ',0 
'Add Node installs MySQL Server for Hive    Adding slave nodes post cluster install will install MySQL Server if Hive was selected as a service at the time of cluster installation    ',0 
'Manage service needs a way to recover from terminated browser sessions    We need to block users from being able to start stop services when we have a batch of start stop activities are already in progress Do something similar to deployment progress display and bring the user back to that modal status display which will end when we detect success failure    ',0 
'Service Reconfiguration screens should respect the  reconfigurable  attributes set in ConfigProperties table    Some service config parameters are editable  can be customized on initial install   but cannot be reconfigured post cluster install This info is stored in ConfigProperties table  but the Service Reconfiguration screens are allowing these non reconfigurable parameters to be changed    ',0 
'make support for os check a bit more robust       ',0 
'Add rack info as column in Hosts table       ',0 
'Fix node assignments not not allow slaves on master        ',0 
'Support Resume For Add Nodes    Just like for Manage Services   Deploy   Uninstall    ',0 
'Modify the router to force redirection to  Add Nodes Progress  popup       ',0 
'Fix puppet manifests for tarball downloads via rpms        ',0 
'update to fix the ganglia monitor and server anchor problem    update to fix the ganglia monitor and server anchor problem   ',0 
'Fix oozie smoke test failure    Oozie smoke test failing with  Error  E       E      Invalid resource      usr lib oozie conf         ',0 
'Fix Advanced Config  HDFS reserved space is in bytes  Too many bytes to count     Simplify user input    ',0 
'Create a spec file with less dependencies for HMC    Simplify process for users that want to use different dependencies for PHP and Ruby e g PHP      ruby         ',0 
'Rpm naming needs to be corrected     Rpm naming needs to be corrected    ',0 
