@relation 'WicketBug'

@attribute Text string
@attribute class-att {0,1}

@data

'missing base    URL encoding    yesterday i showed the concept of omponents to a friend and stumled into something i dont understand and think it might be a bug  I have a small panelcompoment that holds a searchform  textfield   submit  nothing special here  the code behind looks like    Override public void onSubmit      String suchFeld   getSuchfeld    if suchFeld length   gt      PageParameters params   new PageParameters    params add  finde  suchFeld   setResponsePage Suche class params     else   setResponsePage getPage   getClass         the component is put into a  BasePage   public BasePage           add bar   add new SuchPanel  SuchPanel           wich is then extended by the real page public class Foo extends BasePage      Creates a new instance of Zigarren    public Foo      wich works all fine  however if the class name contains non ascii letters e g           etc   it gives me a bug if nothing is entered into the search and the partpublic class Zubeh  r extends BasePage      Creates a new instance of Zubeh  r    public Zubeh  r       setResponsePage getPage   getClass      comes to action  the trouble is that the page might have the URL  wicket bookmarkablePage  de pages Zubeh C  B rbut the form tries to go to   wicket bookmarkablePage  de pages Zubeh F rwich results in a CODE     in the App Server   ',0
'Wrong source paths in build xml    The paths used in the ant build xml don t match the actual file structure  In particular  the following changes should be made The following lines should be changed  lt property name  src main dir  value  src java    gt   lt property name  src test dir  value  src test    gt into   lt property name  src main dir  value  src main java    gt    lt property name  src test dir  value  src test java    gt    ',0
'WicketTester fails when calling clickLink on a ResourceLink to a mounted resource    Basics of the testcase are    in WebApplicationapplication getSharedResources   add  mountedResource   new MountedResource    ResourceReference mountedResourceRef   new ResourceReference  mountedResource   application mountSharedResource   mountedLink   mountedResourceRef getSharedResourceKey       in WebPageadd new ResourceLink  mountedResourceLink   new ResourceReference  mountedResource        in testcase itselftester startPage LinksPage class  tester clickLink  mountedResourceLink    I ve attached an Eclipse generated project  it has a build xml which should work on the command line  and uses TestNG for the tests The  war  which can be built using Eclipse  has working links    ',0
'FormTester does not set request parameters for unchanged form fields    When using the FormTester  the Form is correctly having its field values  but FormTester does not call setFormComponentValue   for every field  Thus  the request parameters are not set for the next request  when submit   is called The workaround is to call setValue   for every field The attached patch fixes the problem for AbstractTextComponent  It also adds a new method getTextComponentValue   as a shortcut to access a field value    ',0
'NPE in Check java    The Forms examples fails with an NPE in Check java if  group hasRawInput      String   inputs   group getInputAsArray    for  String input   inputs   lt  lt  lt  lt  lt  lt  NPE   if  value equals input     tag put  checked    checked         Juergen   ',0
'Lazy registration fails for mounted resources     If you mount a CSS resource which has background image url   links  the lazy resolution code in SharedResourceRequestTarget doesn t search class aliases when it tries to locate the image  which is rather annoying    ',0
'NullPointerException after deserialize wicket util concurrent CopyOnWriteArrayList    wicket feedback FeedbackMessages by default using wicket util concurrent CopyOnWriteArrayList for storage  however CopyOnWriteArrayList internally use a transient Object   array  without checking null and lazy initialization  This may cause NullPointerException after session replication or the like  Below is stack trace while testing terracotta session clustering  WicketMessage  unable to get object  model  Model classname      wicket feedback FeedbackMessagesModel      attached true  called with component  MarkupContainer      Component id   messages  page   ngc wicket pages MainPage   path     globalFeedback feedbackul messages FeedbackPanel MessageListView  isVisible   true  isVersioned   false      Root cause java lang NullPointerExceptionat wicket util concurrent CopyOnWriteArrayList size  CopyOnWriteArrayList java     at wicket feedback FeedbackMessages messages FeedbackMessages java     at wicket feedback FeedbackMessagesModel onGetObject FeedbackMessagesModel java     at wicket model AbstractDetachableModel getObject  AbstractDetachableModel java     at wicket Component getModelObject Component java     at wicket markup html panel FeedbackPanel updateFeedback FeedbackPanel java     at wicket Page   component  Page java     at wicket MarkupContainer visitChildren MarkupContainer java     at wicket Page renderPage Page java        ',0
'wrong handling of exceptions for Resource respond and ComponentResourceRequestTarget respond    Resource s exception handling is too fragile  Currently  before fix  it looks like this  private final void respond final IResourceStream resourceStream  final Response response    try   final OutputStream out   response getOutputStream    try   Streams copy resourceStream getInputStream    out     finally   resourceStream close    out flush        catch  Exception e    Throwable throwable   e  boolean ignoreException   false  while  throwable    null    if  throwable instanceof SocketException    String message   throwable getMessage    ignoreException   message    null  amp  amp   message indexOf  Connection reset by peer            message  indexOf  Software caused connection abort             else   ignoreException   throwable getClass   getName    indexOf  ClientAbortException    gt      if  ignoreException    if  log isDebugEnabled      log debug  Socket exception ignored for sending Resource      response to client  ClientAbort    e     break      throwable   throwable getCause      if   ignoreException    throw new WicketRuntimeException  Unable to render resource stream     resourceStream  e        and ComponentResourceRequestTarget re threw this exception  resulting in Wicket trying to render an error page  One problem with the above code is that it is simply does not cover all appservers versions os ses  nor it that something we should want to support  For instance  an aborted request in Jetty on Linux  OSX results in an IOException  or more concrete EofException  Besides the fact that this can get you weird behavior in general  handling the exception like we did there is never a good idea  We should never try to render an error page for any exception during a resource request but instead set an appropriate status code  I propose status code      INTERNAL SERVER ERROR  for this and put that in ComponentResourceRequestTarget  and alter Resource so that it always re throws any exception    ',0
'mounted URLs fail if filterPath is blank    The path in RequestParameters needs to begin with a     or it will not be found when checking against mounted paths  The slash is prefixed in WicketFilter line     when checking isWicketRequest    but it is not prefixed later when looking for the request target  Proposed fix in patch  to be attached  performs this operation in ServletWebRequest getPath    I m not sure if that is the ideal spot  but I ve confirmed that it fixes the problem    ',0
'While testing with FormTester  onSelectionChanged is not being invoked if DropDownChoice is enabled for notifications    Method DropDownChoice onSelectionChanged is never called when testing a drop down by calling formTester select  dropDownChoiceNotified      In my page  form add new DropDownChoice  dropDownChoiceNotified   candidateChoices  bookChoiceRenderer    private static final long serialVersionUID    L  protected boolean wantOnSelectionChangedNotifications     return true    protected void onSelectionChanged Object arg     super onSelectionChanged arg    throw new RuntimeException  notification   arg         In my unit Test I do  formTester select  dropDownChoiceNotified      and the drop down component is not being notified It works fine when testing in a container though    ',0
'Component reAttach and versioning    I m reAttaching a component doing something like  MyFooPanel p    new MyFooPanel this   panel   MyBarPanel p    new MyBarPanel this   panel    p  reAttach    When I try to restore to the initial page version I found that the component with id  panel  is not a children component of the page  I have investigated it and I think it is because when the component is reAttached the order in which the changes are added to the ChangesList is   Add p   Remove p  When the initial version is restored the undo functionality is done in reverse mode like   Add p   Remove p  The problem is p  and p  have the same id  so when p  is removed what is removing is p  that has just added  Oscar    ',0
