@relation 'DerbyBug'

@attribute Text string
@attribute class-att {0,1}

@data

' Network Server Protocol error when select fails and  order by  is specified    Reporting for Army  filed on derby dev list If  when using the Network Server  one tries to execute a select statement that fails because of an SQL exception  ex  divide by zero   and if an  order by  clause is specified as part of the select  the server will throw a distributed protocol exception  instead of the appropriate error Repro  using the  ij  utility ij gt  connect  jdbc derby net   localhost      myDB user u password p   ij gt  create table t   i int  j int    rows inserted updated deletedij gt  insert into t  values         row inserted updated deleted        Without an  order by  it s fine                     gt   Attempt to divide by zero    which is fine ij gt  select  fn mod i j   from t              ERROR        DB  SQL error  SQLCODE      SQLSTATE         SQLERRMC               With an order by  it dies   ij gt  select  fn mod i j   from t  order by   ERROR        Execution failed due to a distribution protocol error that caused deallocation of the conversation  A DRDA Data Stream Syntax Error was detected  Reason   x  NOTES The problem is in the DRDAConnThread java file   processCommands       method  in the  case CodePoint OPNQRY  block of code  In the case of an SQL exception  there s a call to  writer clearBuffer    that is used to ensure that only an OPNQFLRM is sent back to the client  not the OPNQRYRM and or QRYDSC that may have been written to buffer before the OPNQFLRM  That call to  clearBuffer  has to be replaced with something smarter  so that instead of doing a full clear  which causes the problem shown above   it only backs out the buffer writes that it has made since beginning the  case CodePoint OPNQRY  block      ',0
'NPE when trying to create a database at a directory that is not allowed    Opening this bug on behalf of Daniel Debrunner                                                              This bug occurs in embedded Derby and Derby Network Server  In Derby Network Server  it might be best for a security exception to be thrown when trying to create a database at a disallowed directory  SQLSTATE        This bug can be reproduced in IJ like so  if your  D  drive is an inaccessible disk  e g  your CD ROM ij gt  connect  jdbc derby d  wombat  create true  ERROR XJ     Failed to create database  d  wombat     ',0
'Make LOCKS as non reserved keyword in Derby since it is not a reserved keyword in the SQL standards    Since LOCKS is not a reserved keyword in SQL standards  Derby should not make LOCKS as reserved keyword    ',0
'NPE when creating a trigger on a table and default schema doesn t exist     BACKGROUND When connecting to a Derby db with a user id and password  the default schema is USER  For example  if I connect with ij gt  connect  jdbc derby myDB user someUser password somePwd  then the default schema is  SOMEUSER  PROBLEM It turns out that if a table t  exists in a non default schema and the default schema  in this case   SOMEUSER   doesn t exist yet  because no objects have been created in that schema   then attempts to create a trigger on t  using its qualified name will lead to a null pointer exception in the Derby engine REPRO In ij         Create database with default schema  SOMEUSER  ij gt  connect  jdbc derby myDB create true user someUser password somePwd          Create table t  in a non default schema  in this case  call it  ITKO  ij gt  create table itko t   i int    rows inserted updated deleted        Now schema ITKO exists  and T  exists in schema ITKO  but default schema SOMEUSER does NOT exist  because we haven t created any objects in that schema yet         So now we try to create a trigger in the ITKO  i e  the non default  schema   ij gt  create trigger trig  after update on itko t  for each row mode db sql select   from sys systables ERROR XJ     Java exception     java lang NullPointerException  A look at the derby log file shows the stack trace given below  In a word  it looks like the  compilation schema  field of SYS SYSTRIGGERS isn t getting set  and so it ends up being null  That causes the NPE in subsequent processing   java lang NullPointerException at org apache derby impl sql catalog SYSSTATEMENTSRowFactory makeSYSSTATEMENTSrow SYSSTATEMENTSRowFactory java      at org apache derby impl sql catalog DataDictionaryImpl addSPSDescriptor DataDictionaryImpl java       at org apache derby impl sql execute CreateTriggerConstantAction createSPS CreateTriggerConstantAction java      at org apache derby impl sql execute CreateTriggerConstantAction executeConstantAction CreateTriggerConstantAction java      at org apache derby impl sql execute MiscResultSet open MiscResultSet java     at org apache derby impl sql GenericPreparedStatement execute GenericPreparedStatement java      at org apache derby impl jdbc EmbedStatement executeStatement EmbedStatement java       at org apache derby impl jdbc EmbedStatement execute EmbedStatement java      at org apache derby impl jdbc EmbedStatement execute EmbedStatement java      at org apache derby impl tools ij ij executeImmediate ij java      at org apache derby impl tools ij utilMain doCatch utilMain java      at org apache derby impl tools ij utilMain go utilMain java      at org apache derby impl tools ij Main go Main java      at org apache derby impl tools ij Main mainCore Main java      at org apache derby impl tools ij Main   main Main   java     at org apache derby tools ij main ij java       ',0
'RunSuite summary rounds incorrectly    Example output from RunSuite in the report file    Tests Run     Pass      tests passed     Fail    tests failed A single failure should not lead to    fail and      pass Should round down on pass percentage and round up on fail percentage    ',0
'dblook displays message keys instead of their associated text    Using Derby version                      when I execute java org apache derby tools dblookinstead of getting the usage message  I get CSLOOK UsageSimilarly  when using dblook to generate database schema  the output text contains keys such as the one above  instead of their associated text  e g         CSLOOK Timestamp   lt                         gt         CSLOOK DBName   lt sample gt         CSLOOK DBUrl   lt jdbc derby sample gt         appendLogs  false                                                              CSLOOK SchemasHeader                                                      CREATE SCHEMA  SAMP                                                                CSLOOK TablesHeader                                                      CREATE TABLE  SAMP   IN TRAY    RECEIVED  TIMESTAMP   SOURCE  CHAR      SUBJECT  CHAR       NOTE TEXT  VARCHAR           ',0
'Lock not being released properly  possibly related to occurence of lock escalation    In the following scenario   lt code snippet gt  String sel    select   from t  FOR UPDATE of i    PreparedStatement ps    conn prepareStatement  sel   int val        ps  setMaxRows val   ResultSet rs   ps  executeQuery    String ins    Update t  set i    WHERE CURRENT OF   rs getCursorName     PreparedStatement ps    conn prepareStatement ins   ps  setInt   iteration   while rs next      ps  executeUpdate          print lock table information System out println  Lock Table before commit transaction    printLockTable conn   conn commit    lt end code snippet gt Running the above transaction twice causes a lock timeout the second time It seems like locks are not being released properly on the table even after the transaction commits and the connection is closed  Also  this condition seems to happen only when lock escalation to table lock occurs  By increasing lock escalation threshold to prevent lock escalation and with only row level locking  the locks are released properly I printed out the locks information and see a U row level lock on the table   and also a table level lock as a result of lock escalation  After commit  and resultset being closed  the U row level lock is not released  Thus in the second iteration of the test  the unreleased U row level lock causes a lock timeout to happen  In case of the second iteration of the test  the lock table shows the previous U row lock with a null transaction id  This is not right  The transactions are running at the default isolation level   read committed  By default  the lock escalation threshold is set to     http   incubator apache org derby manuals tuning perf   html IDX   I will be attaching the program for reproduction  To reproduce the problem with less number of rows in the table  please run the program with the following derby properties set derby locks deadlockTrace truederby locks escalationThreshold       ',0
'Suite jdk   is skipped incorrectly with J SE        Since J SE     is a super set of JDK      and JDK    tests should run in J SE      ',0
'Derby incorrectly rounds double values down during insert into NUMERIC    When inserting a double value into a field defined as NUMERIC a b  using PreparedStatement setDouble    Derby may incorrectly round the number down  For example  a NUMERIC      field with a double        ends up with a value of      in the database  This works fine in Oracle and other databases The problem occurs because double cannot represent      exactly  so the actual value is              SQLDecimal setCoreValue uses BigDecimal double  which constructs a BigDecimal of              and then SQLDecimal setWidth uses value setScale desiredScale  BigDecimal ROUND DOWN   Note that BigDecimal javadoc recommends that the double constructor be avoided for this reason One fix appears to be to change SQLDecimal setCoreValue double  to avoid using the double constructor of BigDecimal  Using Double toString   and BigDecimal String  looks as if it would work as expected  because Double toString   has  special rounding abilities  and converts             back to         ',0
